oyun_adi,etiketler,gelistirici,yayinci,yayin_tarihi,turkce_incelemeler,en_son_incelemeler,turkce_destegi,fiyat_dlc,fiyat2,ozellikler,kontrolcu_destegi,dil_sayisi,diller_detay,yas_siniri
HITMAN World of Assassination,"Gizlilik, Suikastçı, VR, Aksiyon, Tek Oyunculu, Sandbox, Çok Oyunculu, Şiddet, Nişancı, Üçüncü Şahıs, TPS, Gerçekçi, Açık Dünya, Bulmaca, Macera, Sinematik, Vahşet, Sürükleyici Simülasyon, Komik, Kapitalizm",IO Interactive A/S,IO Interactive A/S,20 Oca 2022,"Türkçe İncelemelerÇok Olumlu(%89/1,345)","En Son:Çok Olumlu(%89/1,403)",Desteklenmiyor,$2.99 USD,$14.99 USD,"Tek Oyunculu, Steam Başarımları, Takip Edilebilen Kontrolcü Desteği, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,9 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",18+
Victoria 3,"Büyük Strateji, Ekonomi, Tarihsel, Siyaset Simülatörü, Strateji, Kapitalizm, Politika, Diplomasi, Yönetim, Simülasyon, Alternatif Tarih, Modlanabilir, Politik, Kaynak Yönetimi, Durdurulabilir Gerçek Zamanlı, Sandbox, Çok Oyunculu, Tek Oyunculu, Tekrar Oynanabilir, Askerî",Paradox Development Studio,Paradox Interactive,25 Eki 2022,"Türkçe İncelemeler*Çoğunlukla Olumlu(%79/1,493)",En Son:Çoğunlukla Olumlu(%78/237),Arayuz,N/A,$58.00 USD,"Tek Oyunculu, Çevrimiçi PvP, Çapraz Platform Çok Oyunculu, Steam Başarımları, Steam Atölyesi, Steam Cloud, Aile Paylaşımı",,Türkçe ve 10 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Japonca: Arayuz | Korece: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz,12+
Far Cry® Primal,"Açık Dünya, Hayatta Kalma, Aksiyon, Avlanma, Macera, Birinci Şahıs, Tek Oyunculu, Açık Dünya Hayatta Kalma İnşa, Üretim, Keşif, FPS, Gizlilik, Atmosferik, Yetişkinler İçin, Nişancı, RYO, Aksiyon RYO, Cinsel İçerik, Strateji, Çevrimiçi Eşli Oyun",Ubisoft,Ubisoft,29 Şub 2016,"Türkçe İncelemelerÇok Olumlu(%91/2,562)",En Son:Çok Olumlu(%86/941),Desteklenmiyor,$5.59 USD,$23.99 USD,"Tek Oyunculu, Steam Koleksiyon Kartları",Kismi kontrolcu destegi,19 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Çekçe: Arayuz, Altyazi | Felemenkçe: Arayuz, Altyazi | Fince: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Norveççe: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | İsveççe: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Danca: Arayuz, Altyazi | Latin Amerika İspanyolcası: Arayuz, Altyazi",18+
Medieval Dynasty,"İnşa Etme, Üretim, Çok Oyunculu, Orta Çağ, Eşli, Hayatta Kalma, Açık Dünya, Üs İnşa Etme, Sandbox, Sürükleyici Simülasyon, RYO, Tek Oyunculu, Simülasyon, Atmosferik, Gerçekçi, Yönetim, Macera, Birinci Şahıs, Tarihsel, Tarım",Render Cube,Toplitz Productions,17 Eyl 2020,"Türkçe İncelemelerÇok Olumlu(%91/1,024)",En Son:Çok Olumlu(%86/344),"Arayuz, Altyazi",-20%$3.49$2.79 USD,$24.74 USD,"Tek Oyunculu, Çevrimiçi Eşli, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 17 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Portekizce - Portekiz: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Çekçe: Arayuz, Altyazi | Ukraynaca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Felemenkçe: Arayuz, Altyazi | İsveççe: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Macarca: Arayuz, Altyazi",
Dead Cells,"Macera, Metroidvania, Aksiyon Roguelike, Piksel Grafikler, Rogue-like, 2D, Souls-like, Rogue-lite, Zor, Hack and Slash, Tekrar Oynanabilir, Platform, Tek Oyunculu, Roguevania, Aksiyon, Karanlık Fantezi, Atmosferik, Prosedürel Oluşturma, Komik, Bağımsız",Motion Twin,Motion Twin,6 Ağu 2018,"Türkçe İncelemelerSon Derece Olumlu(%96/4,491)",En Son:Son Derece Olumlu(%95/908),"Arayuz, Seslendirme, Altyazi",$3.29 USD,$12.49 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Steam Atölyesi, Steam Cloud, Telefonda Remote Play, Tablette Remote Play, Televizyonda Remote Play, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 14 dil daha,"Türkçe: Arayuz, Seslendirme, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | Basitleştirilmiş Çince: Arayuz, Seslendirme, Altyazi | İtalyanca: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Seslendirme, Altyazi | Japonca: Arayuz, Seslendirme, Altyazi | Portekizce - Portekiz: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Seslendirme, Altyazi | Korece: Arayuz, Seslendirme, Altyazi | Geleneksel Çince: Arayuz, Seslendirme, Altyazi | Brezilya Portekizcesi: Arayuz, Seslendirme, Altyazi | Latin Amerika İspanyolcası: Arayuz, Seslendirme, Altyazi | Lehçe: Arayuz, Seslendirme, Altyazi",16+
Bodycam,"Erken Erişim, Gerçekçi, FPS, Nişancı, Askerî, Eşli, VR, Çok Oyunculu, Korku, Zombi, Taktiksel, Birinci Şahıs, Aksiyon, Takım Tabanlı, PvP, Fizik Tabanlı, Sürükleyici Simülasyon, Çatışma, Açık Dünya, Savaş Oyunu",Reissad Studio,Reissad Studio,7 Haz 2024,"Türkçe İncelemelerÇoğunlukla Olumlu(%77/1,293)",En Son:Çok Olumlu(%80/910),Desteklenmiyor,,$17.99 USD,"Çevrimiçi PvP, Uygulama İçi Satın Alımlar, İstatistikler, Steam Sıralama Listeleri, Aile Paylaşımı",,10 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Arapça: Arayuz | Japonca: Arayuz | Korece: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz",
Esoteric Ebb,"Zengin Hikâye, RYO, Önemli Seçimler, İzometrik, Dungeons & Dragons, İnteraktif Kurgu, CRPG, Tek Oyunculu, Elle Çizilmiş, Lineer Olmayan, Politik, Hikâye Tarzında, Macera, Atmosferik, Point & Click, Keşif, Komik, Masa Oyunları, Sıra Tabanlı, Karakter Kişiselleştirme",Christoffer Bodegård,Raw Fury,3 Mar 2026,,,Desteklenmiyor,$3.59 USD,$3.59 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,1 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Altyazi",
The Riftbreaker,"Üs İnşa Etme, Çevrimiçi Eşli Oyun, Çok Oyunculu, Kule Savunması, Hayatta Kalma, Aksiyon RYO, Hack and Slash, Keşif, Sandbox, İnşa Etme, Üretim, İzometrik, Tek Oyunculu, GZS, Ekonomi, Strateji, Prosedürel Oluşturma, Stratejik RYO, Eşli Ana Görev, Kaynak Yönetimi",EXOR Studios,"EXOR Studios, Surefire.Games",14 Eki 2021,,En Son:Çok Olumlu(%87/417),Desteklenmiyor,-50%$5.79$2.89 USD,$11.56 USD,"Tek Oyunculu, Çevrimiçi Eşli, LAN Eşli, Steam Başarımları, Steam Koleksiyon Kartları, Steam Atölyesi, Steam Cloud, Bölüm düzenleyicisi içerir, Televizyonda Remote Play, Aile Paylaşımı",Tam kontrolcu destegi,10 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi",
Truck & Logistics Simulator,"Simülasyon, Otomobil Simülasyonu, Çok Oyunculu, Açık Dünya, Gerçekçi, Basit Eğlence, Araç Kullanma, Yönetim, Ekonomi, Tek Oyunculu, Rahatlatıcı, Eşli, Birinci Şahıs, Modlanabilir, Sandbox, Keşif, Fizik Tabanlı, Bağımsız, Atmosferik, Erken Erişim",Simula Games,Aerosoft GmbH,23 Haz 2020,Türkçe İncelemelerÇok Olumlu(%82/358),En Son:Karışık(%57/33),Arayuz,,$4.99 USD,"Tek Oyunculu, Çevrimiçi Eşli, Çapraz Platform Çok Oyunculu, Steam Başarımları, Aile Paylaşımı",Kismi kontrolcu destegi,Türkçe ve 15 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Almanca: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Kastilya İspanyolcası: Arayuz | Arapça: Arayuz | Japonca: Arayuz | Lehçe: Arayuz | Portekizce - Portekiz: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Macarca: Arayuz | Rumence: Arayuz | Korece: Arayuz | Brezilya Portekizcesi: Arayuz,
Lightyear Frontier,"Erken Erişim, Mech'ler, Üretim, Açık Dünya Hayatta Kalma İnşa, Üs İnşa Etme, Çiftçilik Simülatörü, Çevrimiçi Eşli Oyun, Kaynak Yönetimi, Tarım, Keşif, Rahatlatıcı, Tek Oyunculu, Sandbox, Eşli, Birinci Şahıs, Açık Dünya, Yönetim, Atmosferik, Hayatta Kalma, Bilim Kurgu",FRAME BREAK,"FRAME BREAK, Coffee Stain Publishing",19 Mar 2024,,En Son:Çok Olumlu(%81/207),Desteklenmiyor,-40%$1.99$1.19 USD,$2.68 USD,"Tek Oyunculu, Çevrimiçi Eşli, Çapraz Platform Çok Oyunculu, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Kismi kontrolcu destegi,12 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",
Tainted Grail: The Fall of Avalon,"Macera, Açık Dünya, RYO, Karanlık Fantezi, Birinci Şahıs, Üçüncü Şahıs, Karakter Kişiselleştirme, Keşif, Tek Oyunculu, Aksiyon RYO, Önemli Seçimler, Zengin Hikâye, Aksiyon, Lineer Olmayan, Sürükleyici, Hayatta Kalma - Korku, Hikâye Tarzında, Sürükleyici Simülasyon, Birden Fazla Son, FPS",Questline,Awaken Realms,30 Mar 2023,,"En Son:Çok Olumlu(%84/1,089)",Desteklenmiyor,-20%$7.99$6.39 USD,$11.02 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,12 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Lehçe: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Çekçe: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi",
Microsoft Flight Simulator (2020) 40th Anniversary Edition,"Simülasyon, Uçuş, Gerçekçi, Çok Oyunculu, Açık Dünya, VR, Tek Oyunculu, Gerçek Zamanlı, Atmosferik, Fizik Tabanlı, Macera, Renkli, Aile Dostu, Güzel, TrackIR, Gerçeküstü, Kontrolcü, Epik, Kısa, Psikolojik Korku",Asobo Studio,Xbox Game Studios,17 Ağu 2020,Türkçe İncelemelerÇok Olumlu(%83/899),En Son:Karışık(%66/686),Desteklenmiyor,,$59.99 USD,"Tek Oyunculu, Steam Başarımları, VR Destekli, Uygulama İçi Satın Alımlar, HDR desteği, Aile Paylaşımı",Tam kontrolcu destegi,13 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Altyazi | Felemenkçe: Arayuz, Altyazi | Fince: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Norveççe: Arayuz, Altyazi | İsveççe: Arayuz, Altyazi",3+
Deep Rock Galactic,"Cüce, Eşli, PvE, FPS, Prosedürel Oluşturma, Sınıf Tabanlı, Nişancı, Keşif, Birinci Şahıs, Ganimet, Bilim Kurgu, Aksiyon, Uzay, Atmosferik, Looter Shooter, Çatışma, Hayatta Kalma, Korku, Karanlık, Aksiyon Roguelike",Ghost Ship Games,Coffee Stain Publishing,13 May 2020,"Türkçe İncelemelerSon Derece Olumlu(%96/2,663)","En Son:Çok Olumlu(%94/2,116)","Arayuz, Altyazi",$5.79 USD,$27.64 USD,"Tek Oyunculu, Çevrimiçi Eşli, Steam Başarımları, Steam Koleksiyon Kartları, İşitme engelliler için altyazı desteği, Steam Cloud, Tablette Remote Play, Televizyonda Remote Play, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 16 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Ukraynaca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Latin Amerika İspanyolcası: Arayuz, Altyazi | Macarca: Arayuz, Altyazi | Rumence: Arayuz, Altyazi",
Far Cry® 5,"Açık Dünya, Aksiyon Macera, Eşli, Çok Oyunculu, FPS, Nişancı, Keşif, Zengin Hikâye, Birinci Şahıs, Gerçekçi, Amerika, Gizlilik, Aksiyon, Avlanma, Macera, 3D, Hayatta Kalma, Doğa, Atmosferik, Psikedelik","Ubisoft Montreal, Red Storm, Ubisoft Shanghai, Ubisoft Toronto, Ubisoft Kiev",Ubisoft,26 Mar 2018,"Türkçe İncelemelerÇok Olumlu(%80/4,521)","En Son:Çok Olumlu(%82/1,402)",Desteklenmiyor,$23.99 USD,$47.99 USD,"Tek Oyunculu, Çevrimiçi Eşli, Steam Başarımları, Steam Koleksiyon Kartları, İşitme engelliler için altyazı desteği, Uygulama İçi Satın Alımlar, Bölüm düzenleyicisi içerir, HDR desteği",Kismi kontrolcu destegi,15 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | İtalyanca: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Seslendirme, Altyazi | Arapça: Arayuz, Altyazi | Çekçe: Arayuz, Altyazi | Felemenkçe: Arayuz, Altyazi | Japonca: Arayuz, Seslendirme, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Seslendirme, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",18+
Human Fall Flat,"Eşli, Komik, Bulmaca, Macera, Çok Oyunculu, Fizik Tabanlı, Sandbox, Bulmaca Platform, Aksiyon, Açık Dünya, Yerel Eşli Oyun, Bağımsız, Yerel Çok Oyunculu, Komedi, Parkur, Basit Eğlence, Bölünmüş Ekran, Tek Oyunculu, 3D Platform, Simülasyon",No Brakes Games,Curve Games,22 Tem 2016,"Türkçe İncelemelerÇok Olumlu(%94/11,232)",En Son:Çok Olumlu(%93/813),"Arayuz, Altyazi",-50%$2.99$1.49 USD,$1.49 USD,"Tek Oyunculu, Çevrimiçi PvP, Ortak/Bölünmüş Ekran Eşli, Steam Başarımları, Steam Koleksiyon Kartları, Steam Atölyesi, Steam Cloud, İstatistikler, Televizyonda Remote Play, Remote Play Together, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 15 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Portekizce - Portekiz: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Tayca: Arayuz, Altyazi | Ukraynaca: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",
Far Cry® 6,"Açık Dünya, FPS, Çevrimiçi Eşli Oyun, Çok Oyunculu, Aksiyon, Macera, Eşli, Tek Oyunculu, Nişancı, Keşif, Aksiyon Macera, Kadın Karakter, Çatışma, 3D, Birinci Şahıs, PvE, Atmosferik, Üretim, Modern, Sandbox","Ubisoft Toronto, Ubisoft Montreal, Ubisoft Kyiv, Ubisoft Shanghai, Ubisoft Berlin",Ubisoft,11 May 2023,"Türkçe İncelemelerÇoğunlukla Olumlu(%74/1,000)",En Son:Çoğunlukla Olumlu(%70/620),Desteklenmiyor,$31.99 USD,$47.99 USD,"Tek Oyunculu, Çevrimiçi Eşli, Steam Başarımları, İşitme engelliler için altyazı desteği, Uygulama İçi Satın Alımlar, HDR desteği",Kismi kontrolcu destegi,14 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Arapça: Arayuz, Altyazi | Japonca: Arayuz, Seslendirme, Altyazi | Korece: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Seslendirme, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Latin Amerika İspanyolcası: Arayuz, Seslendirme, Altyazi | Tayca: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",18+
Car Mechanic Simulator 2021,"Simülasyon, Otomobil Simülasyonu, Sandbox, Gerçekçi, Modlanabilir, Araç Kullanma, Yarış, Tek Oyunculu, 3D, Eğitici, Birinci Şahıs, Bulmaca, Sürükleyici Simülasyon, Eşli, Açık Dünya, Atmosferik, Macera, Mini Oyun, VR, Bağımsız",Red Dot Games,PlayWay S.A.,11 Ağu 2021,"Türkçe İncelemelerÇok Olumlu(%94/1,359)",En Son:Çok Olumlu(%92/535),"Arayuz, Altyazi",-78%$14.99$3.29 USD,Car Mechanic Simulator 2021 Demo,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Steam Atölyesi, Steam Cloud, İstatistikler, Bölüm düzenleyicisi içerir, Aile Paylaşımı",Kismi kontrolcu destegi,Türkçe ve 16 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Portekizce - Portekiz: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Çekçe: Arayuz, Altyazi | Rumence: Arayuz, Altyazi | Arapça: Arayuz, Altyazi | Macarca: Arayuz, Altyazi",
Batman™: Arkham Knight,"Aksiyon, Açık Dünya, Süper Kahraman, Gizlilik, Üçüncü Şahıs, Tek Oyunculu, Macera, Dedektif, Zengin Hikâye, Dövüş, Atmosferik, Karanlık, Çizgi Roman, Beat 'em up, Yetişkinler İçin, Bulmaca, Korku, Sandbox, Strateji, Epik",Rocksteady Studios,WB Games,23 Haz 2015,"Türkçe İncelemelerÇok Olumlu(%93/6,259)",En Son:Son Derece Olumlu(%95/957),Desteklenmiyor,-75%$19.99$4.99 USD,$31.91 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Steam Sıralama Listeleri, Telefonda Remote Play, Tablette Remote Play, Televizyonda Remote Play, Aile Paylaşımı",Tam kontrolcu destegi,10 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | İtalyanca: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Seslendirme, Altyazi | Korece: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Seslendirme, Altyazi | Lehçe: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Japonca: Arayuz, Seslendirme, Altyazi",18+
Over The Top: WWI,"Çok Oyunculu, Aksiyon, 1. Dünya Savaşı, TPS, FPS, Nişancı, Tarihsel, Simülasyon, 3D, Sinematik, Üçüncü Şahıs, Gerçekçi, Yıkım, Taktiksel, Savaş, PvP, Takım Tabanlı, PvE, Tek Oyunculu, Birinci Şahıs",Flying Squirrel Entertainment,GG Publishing,6 Mar 2026,,,Arayuz,$3.99 USD,$6.48 USD,"Tek Oyunculu, Çevrimiçi PvP, LAN PvP, Çevrimiçi Eşli, LAN Eşli, Steam Başarımları, Steam Atölyesi, Steam Cloud, Bölüm düzenleyicisi içerir, Aile Paylaşımı",Kismi kontrolcu destegi,Türkçe ve 17 dil daha,"Türkçe: Arayuz | İngilizce: Arayuz, Seslendirme | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz | Japonca: Arayuz | Portekizce - Portekiz: Arayuz | Brezilya Portekizcesi: Arayuz | Latin Amerika İspanyolcası: Arayuz | Korece: Arayuz | Lehçe: Arayuz | Endonezce: Arayuz | Tayca: Arayuz | Ukraynaca: Arayuz",
Manor Lords,"Strateji, Şehir Kurma, Simülasyon, Üs İnşa Etme, Büyük Strateji, Tarihsel, Koloni Simülatörü, Sandbox, Yönetim, İnşa Etme, Kaynak Yönetimi, Ekonomi, Açık Dünya, Tek Oyunculu, Hayatta Kalma, Modlanabilir, 4X, Diplomasi, Tekrar Oynanabilir, Erken Erişim",Slavic Magic,Hooded Horse,26 Nis 2024,"Türkçe İncelemelerÇok Olumlu(%87/1,778)","En Son:Çoğunlukla Olumlu(%78/1,010)","Arayuz, Altyazi",,$12.99 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, Aile Paylaşımı",,Türkçe ve 18 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Çekçe: Arayuz, Altyazi | Danca: Arayuz, Altyazi | Felemenkçe: Arayuz, Altyazi | Macarca: Arayuz, Altyazi | İsveççe: Arayuz, Altyazi | Ukraynaca: Arayuz, Altyazi",16+
Assassin's Creed Valhalla,"Açık Dünya, Aksiyon, RYO, Macera, Vikingler, Tek Oyunculu, Çok Oyunculu, Üçüncü Şahıs, Aksiyon Macera, Gizlilik, Şiddet, Suikastçı, Zengin Hikâye, Aksiyon RYO, Tarihsel, Kadın Karakter, Orta Çağ, Atmosferik, Mitoloji, Karakter Kişiselleştirme",Ubisoft Montreal,Ubisoft,6 Ara 2022,"Türkçe İncelemelerÇok Olumlu(%80/2,152)",En Son:Karışık(%68/948),Desteklenmiyor,$31.99 USD,$47.99 USD,"Tek Oyunculu, Steam Başarımları, İşitme engelliler için altyazı desteği, Uygulama İçi Satın Alımlar, HDR desteği",Kismi kontrolcu destegi,14 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | İtalyanca: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Seslendirme, Altyazi | Arapça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Latin Amerika İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Seslendirme, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Seslendirme, Altyazi",18+
